Ville,Date_Predite,Temp_Predite,Prob_Pluie,Pluie_Prevue
Adelaide,2017-06-19,-22.184528350830078,0.9682351350784302,1
Albany,2017-06-19,-21.775253295898438,0.9576742649078369,1
Albury,2017-06-19,-22.441181182861328,0.9643090963363647,1
AliceSprings,2017-06-19,-22.25720977783203,0.9602382779121399,1
BadgerysCreek,2017-06-19,-22.224872589111328,0.9617440700531006,1
Ballarat,2017-06-19,-22.277793884277344,0.951853334903717,1
Bendigo,2017-06-19,-22.41307830810547,0.9633471369743347,1
Brisbane,2017-06-19,-21.87200927734375,0.963528037071228,1
Cairns,2017-06-19,-21.499691009521484,0.9609638452529907,1
Canberra,2017-06-19,-22.525285720825195,0.9606400728225708,1
Cobar,2017-06-19,-22.19136619567871,0.9682124257087708,1
CoffsHarbour,2017-06-19,-21.34215545654297,0.9677281379699707,1
Dartmoor,2017-06-19,-22.301076889038086,0.9571555852890015,1
Darwin,2017-06-19,-21.553884506225586,0.969701886177063,1
GoldCoast,2017-06-19,-21.167951583862305,0.9549934267997742,1
Hobart,2017-06-19,-22.182750701904297,0.9450086951255798,1
Katherine,2017-06-19,-21.759740829467773,0.9532947540283203,1
Launceston,2017-06-19,-21.893434524536133,0.9326609373092651,1
Melbourne,2017-06-19,-22.298742294311523,0.9594400525093079,1
MelbourneAirport,2017-06-19,-22.30706024169922,0.9564399719238281,1
Mildura,2017-06-19,-22.119029998779297,0.9637113213539124,1
Moree,2017-06-19,-21.936777114868164,0.9597367644309998,1
MountGambier,2017-06-19,-22.11101531982422,0.9507895708084106,1
MountGinini,2017-06-19,-22.41037940979004,0.9427643418312073,1
Newcastle,2017-06-19,-21.694528579711914,0.950767457485199,1
Nhil,2017-06-19,-22.164897918701172,0.9638708829879761,1
NorahHead,2017-06-19,-21.783903121948242,0.9482054710388184,1
NorfolkIsland,2017-06-19,-21.77730941772461,0.9474141001701355,1
Nuriootpa,2017-06-19,-22.288496017456055,0.9647883772850037,1
PearceRAAF,2017-06-19,-21.606746673583984,0.9605921506881714,1
Penrith,2017-06-19,-21.881240844726562,0.9517902135848999,1
Perth,2017-06-19,-21.770742416381836,0.9660110473632812,1
PerthAirport,2017-06-19,-21.71236228942871,0.9589428901672363,1
Portland,2017-06-19,-21.947507858276367,0.948061466217041,1
Richmond,2017-06-19,-22.03644561767578,0.953170120716095,1
Sale,2017-06-19,-22.023849487304688,0.9409188628196716,1
SalmonGums,2017-06-19,-21.614246368408203,0.9614278674125671,1
Sydney,2017-06-19,-21.93411636352539,0.9519706964492798,1
SydneyAirport,2017-06-19,-21.8103084564209,0.9436748623847961,1
Townsville,2017-06-19,-21.629302978515625,0.9567645192146301,1
Tuggeranong,2017-06-19,-22.328968048095703,0.9510527849197388,1
Uluru,2017-06-19,-22.228771209716797,0.9551181793212891,1
WaggaWagga,2017-06-19,-22.188365936279297,0.9512042999267578,1
Walpole,2017-06-19,-21.882518768310547,0.9626026153564453,1
Watsonia,2017-06-19,-22.1303653717041,0.9460136890411377,1
Williamtown,2017-06-19,-21.664396286010742,0.9486756920814514,1
Witchcliffe,2017-06-19,-21.903825759887695,0.94772869348526,1
Wollongong,2017-06-19,-21.905431747436523,0.9462406635284424,1
Woomera,2017-06-19,-21.99083137512207,0.9585514664649963,1
