Ville,Date_Predite,Temp_Predite,Prob_Pluie,Pluie_Prevue
Adelaide,2017-03-18,-39.51,0.0,0
Albany,2017-03-18,-33.19,0.0,0
Albury,2017-03-18,-33.94,0.0,0
AliceSprings,2017-03-18,-34.69,0.0,0
BadgerysCreek,2017-03-18,-32.6,0.0,0
Ballarat,2017-03-18,-35.4,0.0,0
Bendigo,2017-03-18,-33.17,0.0,0
Brisbane,2017-03-18,-28.22,0.0,0
Cairns,2017-03-18,-30.88,0.0,0
Canberra,2017-03-18,-31.51,0.0,0
Cobar,2017-03-18,-34.46,0.0,0
CoffsHarbour,2017-03-18,-35.93,0.0,0
Dartmoor,2017-03-18,-34.57,0.0,0
Darwin,2017-03-18,-34.61,0.0,0
GoldCoast,2017-03-18,-32.35,0.0,0
Hobart,2017-03-18,-35.17,0.0,0
Katherine,2017-03-18,-32.62,0.0,0
Launceston,2017-03-18,-34.01,0.0,0
Melbourne,2017-03-18,-36.51,0.0,0
MelbourneAirport,2017-03-18,-36.14,0.0,0
Mildura,2017-03-18,-34.15,0.0,0
Moree,2017-03-18,-32.34,0.0,0
MountGambier,2017-03-18,-34.19,0.0,0
MountGinini,2017-03-18,-35.0,0.0,0
Newcastle,2017-03-18,-32.41,0.0,0
Nhil,2017-03-18,-37.33,0.0,0
NorahHead,2017-03-18,-33.71,0.0,0
NorfolkIsland,2017-03-18,-32.49,0.0,0
Nuriootpa,2017-03-18,-34.65,0.0,0
PearceRAAF,2017-03-18,-37.14,0.0,0
Penrith,2017-03-18,-38.64,0.0,0
Perth,2017-03-18,-38.76,0.0,0
PerthAirport,2017-03-18,-37.06,0.0,0
Portland,2017-03-18,-38.36,0.0,0
Richmond,2017-03-18,-31.5,0.0,0
Sale,2017-03-18,-33.61,0.0,0
SalmonGums,2017-03-18,-35.49,0.0,0
Sydney,2017-03-18,-32.72,0.0,0
SydneyAirport,2017-03-18,-32.55,0.0,0
Townsville,2017-03-18,-28.7,0.0,0
Tuggeranong,2017-03-18,-35.54,0.0,0
Uluru,2017-03-18,-32.56,0.0,0
WaggaWagga,2017-03-18,-31.88,0.0,0
Walpole,2017-03-18,-35.12,0.0,0
Watsonia,2017-03-18,-36.45,0.0,0
Williamtown,2017-03-18,-33.07,0.0,0
Witchcliffe,2017-03-18,-35.85,0.0,0
Wollongong,2017-03-18,-31.28,0.0,0
Woomera,2017-03-18,-33.64,0.0,0
